peak_name,year,season,termination_reason,highpoint_metres,members,member_deaths,hired_staff,hired_staff_deaths,oxygen_used
Kanjeralwa,1973,Spring,Success (main peak),6612.0,6,0,4,0,False
Annapurna South,1973,Spring,"Bad weather (storms, high winds)",6760.0,6,0,4,0,False
Yalung Kang,1973,Spring,Success (main peak),8505.0,15,1,10,0,True
Everest,1972,Autumn,"Bad weather (storms, high winds)",8230.0,12,1,40,0,True
Annapurna South,1972,Autumn,Success (subpeak),7150.0,5,0,5,0,False
Jethi Bahurani,1972,Autumn,"Bad weather (storms, high winds)",6150.0,7,0,4,1,False
Putha Hiunchuli,1972,Autumn,Success (main peak),7246.0,8,0,6,0,False
Tukuche,1972,Autumn,Success (main peak),6920.0,5,0,4,0,False
Dhaulagiri VI,1972,Autumn,Success (main peak),7268.0,4,0,0,0,False
Gurja Himal,1972,Autumn,Success (main peak),7193.0,14,0,2,0,False
Pumori,1972,Autumn,Success (main peak),7138.0,8,0,6,0,False
Makalu,1972,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",8100.0,14,0,10,0,False
Kanti Himal,1997,Spring,Other,6328.0,5,0,1,0,False
Manaslu,1972,Spring,Success (main peak),8163.0,9,2,12,1,False
Manaslu,1972,Spring,Accident (death or serious injury),6500.0,12,5,10,10,False
Lhotse,1972,Spring,Did not reach base camp,7300.0,3,0,0,0,False
Chobuje,1972,Spring,Success (main peak),6686.0,5,0,0,0,False
Putha Hiunchuli,1972,Spring,Success (main peak),7246.0,8,0,1,0,True
Nampa,1972,Spring,Success (main peak),6729.0,5,1,3,0,False
Makalu II,1972,Spring,Other,7000.0,5,0,1,0,False
Dhaulagiri IV,1972,Spring,Accident (death or serious injury),6300.0,11,1,10,0,False
Everest,1972,Spring,"Bad weather (storms, high winds)",8350.0,23,0,30,0,True
Annapurna I,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6100.0,4,0,0,0,False
Annapurna IV,1997,Autumn,"Bad weather (storms, high winds)",6400.0,7,0,1,0,False
Annapurna IV,1997,Autumn,"Bad weather (storms, high winds)",6200.0,7,0,0,0,False
Annapurna South,1997,Autumn,Other,4900.0,2,0,2,0,False
Tilicho,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5800.0,9,0,0,0,False
Fang,1997,Autumn,Accident (death or serious injury),7300.0,9,1,2,0,False
Dhaulagiri I,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000.0,7,0,0,0,False
Dhaulagiri I,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000.0,3,0,0,0,False
Putha Hiunchuli,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6200.0,7,0,1,0,False
Dhaulagiri I,1997,Autumn,Success (main peak),8167.0,2,0,0,0,False
Dhaulagiri I,1997,Autumn,"Illness, AMS, exhaustion, or frostbite",7500.0,1,0,1,0,False
Dhaulagiri I,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7400.0,8,0,2,0,False
Tukuche,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6300.0,9,0,2,0,False
Putha Hiunchuli,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5500.0,9,0,0,0,False
Dhaulagiri I,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7500.0,8,0,0,0,False
Raksha Urai,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5100.0,14,0,3,0,False
Cho Oyu,1997,Autumn,Success (main peak),8188.0,4,0,0,0,False
Dhaulagiri I,1997,Autumn,Success (main peak),8167.0,4,0,0,0,False
Annapurna I,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6400.0,3,0,0,0,False
Ganesh II,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5200.0,4,0,3,0,False
Manaslu,1997,Autumn,Success (main peak),8163.0,8,0,5,0,True
Manaslu,1997,Autumn,Success (main peak),8163.0,11,0,3,0,False
Manaslu,1997,Autumn,Success (main peak),8163.0,2,0,0,0,False
Manaslu,1997,Autumn,Success (main peak),8163.0,11,2,0,0,False
Manaslu,1997,Autumn,"Bad weather (storms, high winds)",6900.0,11,0,3,0,True
Manaslu,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7690.0,2,0,3,0,True
Manaslu,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6700.0,5,0,6,0,False
Gaurishankar,1997,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6300.0,4,0,0,0,False
Manaslu,1997,Autumn,Success (main peak),8163.0,4,0,0,0,False
Cho Oyu,1997,Autumn,Success (main peak),8188.0,7,0,2,0,False
Cho Oyu,1997,Autumn,Success (main peak),8188.0,8,0,2,0,False
Cho Oyu,1997,Autumn,Success (main peak),8188.0,7,0,2,0,False
Cho Oyu,1997,Autumn,Success (main peak),8188.0,8,0,0,0,False
Cho Oyu,1997,Autumn,"Bad weather (storms, high winds)",7500.0,7,0,1,0,False
Cho Oyu,1997,Autumn,Success (main peak),8188.0,12,0,1,0,False
Cho Oyu,1997,Autumn,Success (main peak),8188.0,5,0,0,0,False
Cho Oyu,1997,Autumn,Success (main peak),8188.0,9,0,3,0,True
Cho Oyu,1997,Autumn,"Bad weather (storms, high winds)",7700.0,23,0,6,0,True
Cho Oyu,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7550.0,3,0,0,0,False
Cho Oyu,1997,Autumn,Success (main peak),8188.0,14,0,0,0,False
Cho Oyu,1997,Autumn,Success (main peak),8188.0,19,0,0,0,False
Cho Oyu,1997,Autumn,Success (main peak),8188.0,11,0,4,0,True
Cho Oyu,1997,Autumn,Success (main peak),8188.0,9,0,3,0,True
Cho Oyu,1997,Autumn,Success (main peak),8188.0,10,0,2,0,True
Cho Oyu,1997,Autumn,Success (main peak),8188.0,9,0,1,0,False
Cho Oyu,1997,Autumn,Success (main peak),8188.0,3,0,2,0,False
Cho Oyu,1997,Autumn,Success (main peak),8188.0,4,0,2,0,True
Cho Oyu,1997,Autumn,"Illness, AMS, exhaustion, or frostbite",7000.0,2,0,0,0,False
Cho Oyu,1997,Autumn,Success (main peak),8188.0,8,0,2,0,False
Ama Dablam,1997,Autumn,Success (main peak),6814.0,6,0,3,0,False
Ama Dablam,1997,Autumn,Success (main peak),6814.0,11,0,4,0,False
Ama Dablam,1997,Autumn,Success (main peak),6814.0,2,0,0,0,False
Ama Dablam,1997,Autumn,Success (main peak),6814.0,9,0,1,0,False
Ama Dablam,1997,Autumn,Success (main peak),6814.0,10,0,2,0,False
Ama Dablam,1997,Autumn,Success (main peak),6814.0,8,0,1,0,False
Ama Dablam,1997,Autumn,Success (main peak),6814.0,4,0,0,0,False
Ama Dablam,1997,Autumn,Success (main peak),6814.0,15,0,2,0,False
Ama Dablam,1997,Autumn,Lack of time,6200.0,8,0,1,0,False
Ama Dablam,1997,Autumn,Success (main peak),6814.0,3,0,0,0,False
Ama Dablam,1997,Autumn,Success (main peak),6814.0,3,0,2,0,False
Ama Dablam,1997,Autumn,Success (main peak),6814.0,10,0,0,0,False
Pumori,1997,Autumn,"Bad weather (storms, high winds)",6600.0,6,0,2,0,False
Pumori,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6100.0,1,0,2,0,False
Pumori,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5850.0,4,0,0,0,False
Pumori,1997,Autumn,Accident (death or serious injury),6650.0,9,3,0,0,False
Pumori,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6150.0,7,0,2,0,True
Pumori,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6200.0,7,0,0,0,False
Lhotse,1997,Autumn,Success (main peak),8516.0,2,0,0,0,False
Nuptse East I,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6600.0,2,0,2,0,False
Lhotse,1997,Autumn,Success (main peak),8516.0,11,0,3,0,True
Lhotse,1997,Autumn,Success (main peak),8516.0,10,0,5,0,True
Lhotse,1997,Autumn,"Bad weather (storms, high winds)",7800.0,5,0,0,0,False
Nuptse,1997,Autumn,Accident (death or serious injury),7732.0,9,1,2,0,False
Everest,1997,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",8700.0,7,0,4,0,True
Everest,1997,Autumn,"Bad weather (storms, high winds)",7600.0,10,0,4,0,True
Everest,1997,Autumn,"Bad weather (storms, high winds)",7600.0,2,0,0,0,False
Everest,1997,Autumn,"Bad weather (storms, high winds)",7900.0,10,0,5,0,False
Everest,1997,Autumn,"Bad weather (storms, high winds)",7000.0,15,0,0,0,True
Everest,1997,Autumn,"Bad weather (storms, high winds)",7900.0,9,0,8,0,False
Everest,1997,Autumn,"Bad weather (storms, high winds)",8200.0,10,0,4,0,True
Everest,1997,Autumn,Did not attempt climb,5350.0,4,0,0,0,False
Everest,1997,Autumn,"Bad weather (storms, high winds)",7800.0,2,0,3,0,False
Everest,1997,Autumn,"Illness, AMS, exhaustion, or frostbite",7000.0,3,0,4,0,False
Everest,1997,Autumn,Accident (death or serious injury),7000.0,13,1,3,0,False
Everest,1997,Autumn,"Bad weather (storms, high winds)",8000.0,2,0,0,0,False
Baruntse,1997,Autumn,Success (main peak),7152.0,17,0,5,0,False
Baruntse,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6700.0,13,0,0,0,False
Baruntse,1997,Autumn,Success (main peak),7152.0,6,0,0,0,False
Baruntse,1997,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000.0,12,0,8,0,False
Baruntse,1997,Autumn,Success (main peak),7152.0,5,0,0,0,False
Makalu,1997,Autumn,"Bad weather (storms, high winds)",7800.0,8,0,0,0,False
Makalu,1997,Autumn,"Bad weather (storms, high winds)",7400.0,6,1,3,0,False
Makalu II,1997,Autumn,Success (main peak),7678.0,3,0,2,0,False
Makalu II,1997,Autumn,Lack of time,7200.0,12,0,0,0,False
Makalu,1997,Autumn,"Bad weather (storms, high winds)",8000.0,7,0,0,0,False
Jannu,1997,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6000.0,9,0,1,0,False
Everest,1971,Spring,"Bad weather (storms, high winds)",8380.0,31,1,55,0,True
Churen Himal Central,1970,Autumn,Success (main peak),7385.0,5,0,7,0,False
Dhaulagiri I,1970,Autumn,Success (main peak),8167.0,14,0,0,0,True
Dhaulagiri IV,1970,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6900.0,9,0,8,0,False
Peak 29,1970,Autumn,Accident (death or serious injury),7871.0,11,1,10,1,False
Kanjiroba South,1970,Autumn,Success (main peak),6883.0,9,0,3,0,False
Tukuche,1970,Spring,Success (main peak),6920.0,17,1,2,0,False
Churen Himal East,1970,Spring,Success (main peak),7371.0,6,0,1,0,False
Peak 29,1970,Spring,Did not attempt climb,7300.0,17,0,0,0,False
Rani Peak,1970,Spring,Success (main peak),6693.0,17,0,6,0,False
Lhotse Shar,1970,Spring,Success (main peak),8382.0,7,0,7,0,True
Annapurna I,1970,Spring,Success (main peak),8091.0,17,1,12,0,True
Baudha,1970,Spring,Success (main peak),6672.0,7,1,3,0,False
Annapurna III,1970,Spring,Success (main peak),7555.0,9,0,9,0,False
Dhaulagiri IV,1970,Spring,"Route technically too difficult, lack of experience, strength, or motivation",7268.0,8,0,3,0,False
Makalu,1970,Spring,Success (main peak),8485.0,20,0,25,0,True
Annapurna I,1970,Spring,Success (main peak),8091.0,12,0,6,0,True
Everest,1970,Spring,Other,8100.0,34,0,0,6,True
Annapurna I,1997,Winter,Accident (death or serious injury),6300.0,3,2,0,0,False
Ama Dablam,1997,Winter,Success (main peak),6814.0,5,0,5,0,False
Dhaulagiri I,1997,Winter,Did not attempt climb,7300.0,2,0,0,0,False
Ama Dablam,1997,Winter,Success (main peak),6814.0,12,0,5,0,False
Ama Dablam,1997,Winter,"Bad weather (storms, high winds)",6025.0,7,0,0,0,False
Annapurna I,1997,Winter,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6000.0,3,0,0,0,False
Manaslu,1997,Winter,Lack (or loss) of supplies or equipment,6500.0,7,0,3,0,False
Manaslu,1997,Winter,"Bad weather (storms, high winds)",7500.0,4,0,1,0,False
Manaslu,1997,Winter,"Bad weather (storms, high winds)",6800.0,4,0,0,0,False
Ama Dablam,1997,Winter,Success (main peak),6814.0,6,0,0,0,False
Dhaulagiri IV,1969,Autumn,Accident (death or serious injury),6900.0,9,5,6,1,False
Everest,1969,Autumn,Did not attempt climb,8000.0,12,0,0,0,True
Gurja Himal,1969,Autumn,Success (main peak),7193.0,8,0,8,0,False
Churen Himal Central,1969,Autumn,"Bad weather (storms, high winds)",6500.0,10,0,6,0,False
Peak 29,1969,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",7400.0,11,0,7,0,False
Kande Hiunchuli,1969,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6500.0,5,0,2,0,False
Everest,1969,Autumn,Other,7500.0,16,0,0,1,True
Dhaulagiri I,1969,Spring,Accident (death or serious injury),5335.0,10,5,4,2,False
Annapurna I,1969,Spring,"Bad weather (storms, high winds)",7485.0,9,0,5,0,False
Tukuche,1969,Spring,Success (subpeak),6848.0,5,0,1,0,False
Kanjiroba South,1969,Spring,"Bad weather (storms, high winds)",5800.0,4,0,4,0,False
Everest,1969,Spring,"Bad weather (storms, high winds)",6500.0,4,0,0,0,False
Kangbachen,1965,Autumn,"Illness, AMS, exhaustion, or frostbite",7600.0,12,0,8,0,True
Annapurna I,1965,Spring,Did not attempt climb,7300.0,8,0,0,0,False
Gangapurna,1965,Spring,Success (main peak),7455.0,8,0,9,0,False
Dhaulagiri II,1965,Spring,Accident (death or serious injury),5400.0,8,0,6,2,False
Lhotse Shar,1965,Spring,"Route technically too difficult, lack of experience, strength, or motivation",8150.0,11,0,14,0,True
Annapurna I,1965,Summer,Did not attempt climb,7300.0,4,0,0,0,False
Dhaulagiri VI,1965,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6400.0,10,0,8,0,False
Everest,1965,Spring,Success (main peak),8850.0,20,0,46,0,True
Thamserku,1964,Autumn,Success (main peak),6618.0,14,0,7,0,False
Glacier Dome,1964,Autumn,Success (main peak),7069.0,7,0,6,0,False
Cho Oyu,1964,Spring,Success (claimed),8100.0,5,2,12,0,False
Nemjung,1964,Autumn,Did not attempt climb,6400.0,5,0,0,0,False
Langtang Lirung,1964,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6700.0,5,0,6,0,False
Ganchenpo,1964,Spring,"Route technically too difficult, lack of experience, strength, or motivation",6250.0,4,0,5,0,False
Gaurishankar,1964,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6700.0,6,0,3,0,False
Annapurna South,1964,Autumn,Success (main peak),7219.0,6,0,4,0,False
Langtang Lirung,1964,Spring,"Route technically too difficult, lack of experience, strength, or motivation",6000.0,7,0,7,0,False
Talung,1964,Spring,Success (main peak),7349.0,7,0,7,0,False
Baruntse,1964,Spring,"Route technically too difficult, lack of experience, strength, or motivation",7150.0,5,0,5,0,False
Gyachung Kang,1964,Spring,Success (main peak),7861.0,11,1,13,0,True
Everest,1964,Spring,Other,8100.0,20,1,60,0,False
Everest,1963,Spring,Success (main peak),8850.0,20,1,40,0,True
Takphu Himal,1963,Autumn,Did not attempt climb,7300.0,6,0,0,0,False
,1963,Autumn,Success (main peak),6433.0,11,0,4,0,False
Langtang Lirung,1963,Autumn,Accident (death or serious injury),6000.0,10,2,3,0,False
Saipal,1963,Autumn,Success (main peak),7030.0,6,0,5,0,False
Peak 29,1963,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6300.0,5,0,4,0,False
Nemjung,1963,Spring,"Bad weather (storms, high winds)",6800.0,7,0,7,0,True
Numbur,1963,Spring,Success (main peak),6958.0,7,0,3,0,False
Ghenge Liru,1963,Spring,Success (main peak),6596.0,2,0,2,0,False
Kangtega,1963,Spring,Success (main peak),6783.0,9,0,5,0,False
Gyachung Kang,1962,Spring,Did not attempt climb,7300.0,4,0,0,0,False
Pumori,1961,Winter,Accident (death or serious injury),6300.0,2,1,9,1,False
Everest,1960,Spring,"Bad weather (storms, high winds)",8625.0,22,0,10,0,True
Lhotse,1956,Spring,Success (main peak),8516.0,11,0,28,0,True
Baruntse,1954,Spring,Success (main peak),7152.0,10,0,15,0,False
Ganesh I,1953,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6100.0,4,0,4,0,False
Dhaulagiri I,1956,Spring,Lack (or loss) of supplies or equipment,7700.0,9,0,10,1,True
Dhaulagiri I,1958,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7600.0,8,0,10,0,False
Dhaulagiri I,1955,Spring,"Bad weather (storms, high winds)",7600.0,10,0,9,0,False
Kirat Chuli,1939,Spring,Success (main peak),7362.0,3,0,4,0,False
Pyramid Peak,1936,Spring,"Route technically too difficult, lack of experience, strength, or motivation",6837.0,3,0,1,0,False
Kangchenjunga,1929,Spring,Accident (death or serious injury),6000.0,1,1,3,0,False
Kabru Dome,1935,Autumn,Lack of time,6400.0,2,0,4,0,False
Glacier Dome,1998,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6150.0,4,0,6,0,False
Annapurna I,1998,Spring,Accident (death or serious injury),6100.0,4,0,4,1,False
Dhaulagiri I,1998,Spring,Accident (death or serious injury),7500.0,7,1,2,0,False
Gaurishankar,1998,Spring,Did not reach base camp,7300.0,4,0,0,0,False
Saipal East Humla,1998,Spring,Did not attempt climb,5400.0,2,0,0,0,False
Langtang Lirung,1998,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6400.0,4,0,4,0,False
Annapurna I,1998,Spring,Success (main peak),8091.0,4,0,4,0,False
Annapurna IV,1998,Spring,Success (main peak),7525.0,7,0,3,0,False
Cho Oyu,1998,Spring,"Bad weather (storms, high winds)",8100.0,5,0,0,0,False
Dhaulagiri I,1998,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7500.0,3,0,0,0,False
Cho Oyu,1998,Spring,Success (main peak),8188.0,9,1,0,0,False
Dorje Lhakpa,1998,Spring,Success (main peak),6966.0,5,0,7,0,False
Cho Oyu,1998,Spring,"Bad weather (storms, high winds)",7000.0,1,0,1,0,False
Cho Oyu,1998,Spring,"Bad weather (storms, high winds)",7500.0,2,0,2,0,False
Cho Oyu,1998,Spring,Success (main peak),8188.0,13,0,0,0,False
Cho Oyu,1998,Spring,Success (main peak),8188.0,15,0,0,0,True
Ama Dablam,1998,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6000.0,5,0,2,0,False
Ama Dablam,1998,Spring,Lack (or loss) of supplies or equipment,6000.0,6,0,1,0,False
Ama Dablam,1998,Spring,"Bad weather (storms, high winds)",5800.0,9,0,0,0,False
Cho Oyu,1998,Spring,Success (main peak),8188.0,6,0,0,0,False
Cho Oyu,1998,Spring,Success (claimed),8100.0,10,0,0,0,False
Kusum Kanguru,1998,Spring,Success (main peak),6370.0,3,0,0,0,False
Annapurna I,1998,Spring,"Bad weather (storms, high winds)",7650.0,4,0,1,0,False
Cho Oyu,1998,Spring,Success (main peak),8188.0,23,0,4,0,False
Cho Oyu,1998,Spring,Success (main peak),8188.0,8,0,2,0,False
Cho Oyu,1998,Spring,Success (main peak),8188.0,23,0,7,0,False
Cho Oyu,1998,Spring,Success (main peak),8188.0,9,0,0,0,False
Cho Oyu,1998,Spring,Success (main peak),8188.0,3,0,1,0,False
Everest,1998,Spring,Success (main peak),8850.0,15,0,0,0,True
Everest,1998,Spring,Success (main peak),8850.0,3,0,6,0,True
Everest,1998,Spring,Success (main peak),8850.0,4,0,1,0,True
Everest,1998,Spring,"Illness, AMS, exhaustion, or frostbite",7800.0,1,0,1,0,False
Everest,1998,Spring,Success (main peak),8850.0,23,2,0,0,True
Cho Oyu,1998,Spring,Success (main peak),8188.0,10,0,0,0,False
Everest,1998,Spring,Success (main peak),8850.0,8,0,4,0,True
Everest,1998,Spring,Success (main peak),8850.0,8,0,5,0,True
Everest,1998,Spring,"Illness, AMS, exhaustion, or frostbite",7700.0,1,0,0,0,False
Everest,1998,Spring,Accident (death or serious injury),7400.0,1,1,0,0,False
Everest,1998,Spring,Success (main peak),8850.0,2,0,2,0,True
Everest,1998,Spring,Success (main peak),8850.0,12,0,6,0,True
Everest,1998,Spring,Success (main peak),8850.0,11,0,12,0,True
Everest,1998,Spring,Success (main peak),8850.0,13,0,8,0,True
Everest,1998,Spring,Success (main peak),8850.0,24,0,0,0,True
Everest,1998,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7500.0,7,0,3,0,False
Everest,1998,Spring,"Bad weather (storms, high winds)",8350.0,1,0,0,0,False
Everest,1998,Spring,"Illness, AMS, exhaustion, or frostbite",8500.0,10,0,0,0,True
Everest,1998,Spring,Success (main peak),8850.0,1,1,1,0,True
Everest,1998,Spring,"Illness, AMS, exhaustion, or frostbite",8300.0,1,0,1,0,False
Everest,1998,Spring,Success (main peak),8850.0,4,0,0,0,True
Everest,1998,Spring,Success (main peak),8850.0,8,0,1,0,False
Lhotse,1998,Spring,Success (main peak),8516.0,6,0,2,0,True
Lhotse,1998,Spring,"Illness, AMS, exhaustion, or frostbite",8485.0,1,0,0,0,False
Everest,1998,Spring,Success (main peak),8850.0,1,0,1,0,True
Lhotse,1998,Spring,Success (main peak),8516.0,3,0,1,0,False
Everest,1998,Spring,Success (main peak),8850.0,17,0,8,0,True
Dhaulagiri I,1998,Spring,Accident (death or serious injury),7000.0,1,1,1,1,False
Everest,1998,Spring,"Illness, AMS, exhaustion, or frostbite",8300.0,1,0,0,0,False
Everest,1998,Spring,"Bad weather (storms, high winds)",8200.0,2,0,2,0,False
Everest,1998,Spring,Success (main peak),8850.0,9,0,9,0,True
Everest,1998,Spring,"Bad weather (storms, high winds)",8748.0,2,0,3,0,True
Everest,1998,Spring,Success (main peak),8850.0,8,0,9,0,True
Everest,1998,Spring,Success (main peak),8850.0,11,0,14,0,True
Everest,1998,Spring,Success (main peak),8850.0,14,0,15,0,True
Cho Oyu,1998,Spring,Success (main peak),8188.0,23,0,5,0,False
Cho Oyu,1998,Spring,Success (main peak),8188.0,2,1,0,0,False
Dhaulagiri I,1998,Spring,Success (main peak),8167.0,4,0,0,0,False
Dhaulagiri I,1998,Spring,Success (main peak),8167.0,6,0,0,0,False
Dhaulagiri I,1998,Spring,Success (main peak),8167.0,10,0,4,0,False
Dhaulagiri I,1998,Spring,Success (main peak),8167.0,15,0,0,0,True
Everest,1998,Spring,Success (main peak),8850.0,10,0,9,0,True
Everest,1998,Spring,Success (main peak),8850.0,6,0,13,0,True
Pumori,1998,Spring,Success (main peak),7138.0,6,0,0,0,False
Makalu,1998,Spring,Accident (death or serious injury),8300.0,6,0,1,0,False
Makalu,1998,Spring,"Bad weather (storms, high winds)",7800.0,6,0,0,0,False
Makalu,1998,Spring,Success (main peak),8485.0,8,0,3,0,False
Nuptse,1998,Spring,"Route technically too difficult, lack of experience, strength, or motivation",5700.0,2,0,1,0,False
Makalu,1998,Spring,Success (main peak),8485.0,5,0,0,0,False
Pumori,1998,Spring,Lack (or loss) of supplies or equipment,6460.0,8,0,2,0,False
Baruntse,1998,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6100.0,5,0,0,0,False
Baruntse,1998,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6750.0,2,0,1,0,False
Makalu,1998,Spring,Success (main peak),8485.0,19,0,0,0,True
Kangchenjunga,1998,Spring,Accident (death or serious injury),8586.0,10,2,0,0,True
Kangchenjunga,1998,Spring,Success (main peak),8586.0,5,0,2,0,False
Kangchenjunga,1998,Spring,"Bad weather (storms, high winds)",8300.0,3,0,0,0,False
Kangchenjunga,1998,Spring,Success (main peak),8586.0,1,0,1,0,False
Kangchenjunga,1998,Spring,Success (main peak),8586.0,10,0,5,0,False
Kangchenjunga,1998,Spring,Success (main peak),8586.0,6,0,0,0,False
Jongsang,1998,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6660.0,6,0,0,0,False
Jannu,1998,Spring,"Bad weather (storms, high winds)",6500.0,6,0,0,0,False
Drohmo,1998,Spring,"Route technically too difficult, lack of experience, strength, or motivation",6000.0,4,0,3,0,False
Jongsang,1998,Spring,"Route technically too difficult, lack of experience, strength, or motivation",6250.0,4,0,3,0,False
Jannu,1998,Spring,"Bad weather (storms, high winds)",6500.0,6,0,0,0,False
Ama Dablam,1958,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6000.0,6,0,2,0,False
Ama Dablam,1959,Spring,Accident (death or serious injury),6550.0,6,2,7,0,False
Ama Dablam,1961,Spring,Success (main peak),6814.0,5,0,0,0,False
Amphu Gyabjen,1953,Spring,Success (main peak),5630.0,4,0,0,0,True
Amphu Gyabjen,1959,Spring,Success (main peak),5630.0,5,0,1,0,False
Annapurna I,1950,Spring,Success (main peak),8091.0,8,0,8,0,False
Annapurna I,1961,Spring,Other,6000.0,1,0,0,0,False
Annapurna I,1970,Autumn,Did not attempt climb,7300.0,2,0,0,0,False
Annapurna I,1982,Spring,"Bad weather (storms, high winds)",7950.0,16,0,0,0,False
Annapurna I,1986,Autumn,Did not attempt climb,7300.0,0,0,0,0,False
Annapurna II,1950,Summer,Did not attempt climb,7300.0,6,0,0,0,False
Annapurna II,1953,Spring,Did not attempt climb,7300.0,2,0,0,0,False
Annapurna II,1953,Autumn,Did not attempt climb,7300.0,7,0,0,0,False
Annapurna III,1961,Spring,Success (main peak),7555.0,7,0,12,0,False
Annapurna III,1982,Autumn,Success (main peak),7555.0,1,0,0,0,False
Annapurna I East,1984,Autumn,Success (main peak),8026.0,6,0,0,0,False
Annapurna I Middle,1980,Autumn,Success (main peak),8051.0,7,1,8,0,False
Annapurna I Middle,1984,Autumn,Success (main peak),8051.0,6,0,0,0,False
Annapurna I Middle,1984,Winter,Success (main peak),8051.0,2,0,4,2,True
Annapurna South,1971,Spring,"Illness, AMS, exhaustion, or frostbite",4450.0,4,0,0,0,False
Annapurna South,1971,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6500.0,0,0,0,0,False
Api Main,1953,Spring,Did not attempt climb,7300.0,3,0,0,0,False
Api Main,1954,Spring,Accident (death or serious injury),7100.0,4,3,3,0,False
Api Main,1960,Spring,Success (main peak),7132.0,5,0,7,0,False
Api Main,1971,Spring,"Route technically too difficult, lack of experience, strength, or motivation",6000.0,8,0,5,0,False
Baruntse,1954,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",6700.0,3,0,0,0,False
Baruntse,1980,Spring,Success (main peak),7152.0,3,0,0,0,False
Baudha,1954,Spring,Did not attempt climb,5500.0,4,0,0,0,False
Baudha,1971,Spring,Success (main peak),6672.0,5,0,5,0,False
Chamlang,1955,Autumn,Did not attempt climb,7300.0,3,0,0,0,False
Chamlang,1962,Spring,Success (main peak),7321.0,7,0,5,0,False
Chamar North,1953,Spring,Success (main peak),7165.0,4,0,2,0,False
Cheo Himal,1987,Autumn,Did not attempt climb,7300.0,0,0,0,0,False
Cho Oyu,1951,Autumn,Did not attempt climb,5800.0,6,0,0,0,False
Cho Oyu,1952,Spring,"Route technically too difficult, lack of experience, strength, or motivation",6800.0,10,0,18,0,False
Cho Oyu,1954,Autumn,Success (main peak),8188.0,3,0,7,0,False
Cho Oyu,1954,Autumn,"Bad weather (storms, high winds)",7700.0,7,0,9,0,False
Cho Oyu,1958,Spring,Success (main peak),8188.0,8,1,7,0,True
Cho Oyu,1959,Autumn,Accident (death or serious injury),7100.0,12,2,11,2,False
Cho Oyu,1977,Spring,Other,6800.0,1,0,0,0,False
